Startup_Name,Industry,Business_Model,Target_Market_Size,Budget_INR,Employees_Count,Founder_Experience_Years,Project_Description,Success_Probability,Success_Status,Financial_Risk,Market_Risk,Technical_Risk,Business_Risk,Regulatory_Risk,Overall_Risk_Score
TitanTech,Agriculture,C2C,Medium,86011,4,0,An AI-powered C2C agriculture solution for medium individual users.,59,1,43.391056,47.454766,44.589538,47.279686,46.023423,46
Astra Flow,Real Estate,Subscription,Small,313951,30,3,A Subscription real estate platform serving small subscribers.,86,1,35.226011,36.005055,37.90444,34.7312,39.567425,19
Meteor-Sync,Other,Advertising,Medium,38550,1,1,A modern digital services venture delivering solutions for medium audiences.,48,0,55.476621,46.679771,45.857864,52.278849,44.879507,57
PulseEdge1201,Finance,Advertising,Small,39260,1,4,A digital financial platform using a Advertising model for small audiences.,55,1,42.972142,42.391053,47.295262,46.778036,45.24287,50
Astra Bridge,Manufacturing,Subscription,Large,1656635,59,12,A technology-driven Subscription platform focused on large manufacturing operations.,95,1,30.028001,31.748692,37.066525,31.225093,40.227543,10
Orion Forge,E-commerce,Marketplace,Large,492483,25,10,An AI-powered Marketplace e-commerce solution for large buyers and sellers.,90,1,34.650724,36.756918,36.31531,38.491228,35.354962,15
Ruby Wave,SaaS,Subscription,Large,1482205,129,12,A modern software venture delivering solutions for large subscribers.,95,1,27.795226,37.736882,37.334214,31.009854,31.321077,10
Silver Byte,Food & Beverage,Advertising,Medium,38087,7,1,A technology-driven Advertising platform focused on medium food and beverage operations.,56,1,49.903355,42.199066,41.901545,44.873084,45.105746,49
CobaltScale,Real Estate,B2B,Small,443224,49,10,A scalable real estate solution targeting small businesses.,89,1,34.432766,30.416519,39.530084,34.615871,38.411191,16
Astra Hub,Education,Subscription,Large,269337,49,8,A scalable education solution targeting large subscribers.,95,1,29.400839,34.923682,39.555395,28.090416,33.233919,10
PulseLink1222,Agriculture,Freemium,Medium,94403,6,4,A Freemium agriculture platform serving medium users.,66,1,45.44557,38.711677,48.305337,43.146777,40.334472,39
EchoTech5545,Retail,C2C,Medium,40751,1,0,A scalable retail solution targeting medium individual users.,47,0,50.936497,47.185482,51.507352,52.360873,43.48041,58
Zenith Works,E-commerce,Franchise,Medium,199350,20,5,An AI-powered Franchise e-commerce solution for medium franchise operators.,73,1,41.298894,42.752857,42.621359,40.235343,43.876604,32
CyberDynamo929,Food & Beverage,C2C,Medium,86994,3,2,A digital food and beverage platform using a C2C model for medium individual users.,65,1,39.574841,47.397667,44.71502,48.448411,46.354892,40
TitanVision7640,SaaS,B2B,Large,200878,49,12,A scalable software solution targeting large businesses.,95,1,23.335884,31.678186,37.802634,28.289305,36.469428,10
Vortex Logic,Healthcare,C2C,Small,201357,24,5,A C2C healthcare platform serving small individual users.,86,1,30.413753,41.327583,35.503867,31.706429,37.355418,19
Meridian-Path,Technology,B2B,Medium,1140303,30,8,A technology-driven B2B platform focused on medium technology operations.,95,1,24.939048,36.422519,31.423809,33.522765,35.075594,10
Solar Drive,Technology,B2B,Medium,879086,24,7,An AI-powered B2B technology solution for medium businesses.,95,1,31.815969,37.46992,39.256726,31.29612,35.263393,10
PrimeDynamo,Agriculture,Other,Small,38215,7,3,A digital agriculture platform using a Other model for small customers.,58,1,41.212574,49.943155,50.272306,43.908019,43.128423,47
HyperEdge649,Healthcare,SaaS,Medium,1830206,90,13,A scalable healthcare solution targeting medium organizations.,95,1,28.284791,33.731257,36.04644,33.062916,38.893973,10
OmegaWorks3448,SaaS,Subscription,Large,1347538,86,8,A Subscription software platform serving large subscribers.,95,1,26.641746,29.078688,34.007228,28.194608,37.039856,10
QuantumIgnite8461,Manufacturing,Subscription,Large,211595,38,5,An AI-powered Subscription manufacturing solution for large subscribers.,90,1,30.090591,31.498107,35.898009,38.129656,40.716123,15
VectorByte,Real Estate,C2C,Small,96852,1,4,An AI-powered C2C real estate solution for small individual users.,58,1,46.867382,40.837632,48.389524,42.316772,47.554297,47
Nova-Wave,Energy,Direct Sales,Medium,1431645,39,14,A Direct Sales energy platform serving medium business customers.,95,1,28.324591,30.877416,32.203388,34.368863,32.331032,10
NovaBridge684,Other,Advertising,Small,18286,2,1,A technology-driven Advertising platform focused on small digital services operations.,48,0,50.657911,44.21474,52.134201,53.52508,41.980289,57
CrimsonSystems581,Retail,Other,Medium,59078,3,3,A Other retail platform serving medium customers.,61,1,45.886268,44.441768,40.617615,45.258676,41.507084,44
Vortex Byte,Retail,C2C,Small,41391,2,0,A C2C retail platform serving small individual users.,47,0,48.806769,53.694178,45.521046,52.852284,50.333757,58
VectorWorks,Healthcare,SaaS,Medium,997726,41,5,A modern healthcare venture delivering solutions for medium organizations.,95,1,22.704009,29.730522,38.269835,32.49147,39.146662,10
Cosmic-Grid,Energy,Subscription,Medium,342499,81,9,A scalable energy solution targeting medium subscribers.,95,1,27.289491,37.491059,33.369636,31.867107,39.59014,10
Pixel Labs,Education,Marketplace,Large,446310,23,5,An AI-powered Marketplace education solution for large buyers and sellers.,86,1,28.357837,37.116437,37.573221,36.49264,34.323839,19
VectorSystems191,Energy,SaaS,Medium,1116916,59,5,A technology-driven SaaS platform focused on medium energy operations.,95,1,28.288844,34.192384,37.120488,28.78306,34.900086,10
Cosmic Systems,Real Estate,Other,Large,431608,46,6,A modern real estate venture delivering solutions for large customers.,82,1,33.540139,39.236003,43.991825,33.0202,43.084161,23
RubyWave,Agriculture,Franchise,Medium,142738,10,5,A digital agriculture platform using a Franchise model for medium franchise operators.,71,1,43.086907,40.221729,42.84621,39.233661,40.756311,34
Stellar Byte,Finance,C2C,Small,43261,2,1,A C2C financial platform serving small individual users.,49,0,53.662703,43.741259,51.665079,50.712436,46.336713,56
LunarBridge1024,Real Estate,Other,Small,39407,2,0,A scalable real estate solution targeting small customers.,47,0,51.261033,46.768897,47.028083,51.222934,44.870571,58
PixelDynamo,SaaS,Marketplace,Large,1053774,34,11,A digital software platform using a Marketplace model for large buyers and sellers.,95,1,28.347458,28.648025,38.385228,32.47417,40.125398,10
HyperCascade,Entertainment,Franchise,Small,211852,32,9,An AI-powered Franchise entertainment solution for small franchise operators.,89,1,30.440189,30.70198,40.870872,38.815917,38.335677,16
Titan-Core,Retail,B2B,Small,237491,5,8,A digital retail platform using a B2B model for small businesses.,83,1,32.323601,37.821185,42.934524,32.640324,33.957914,22
Solar Core,Manufacturing,Subscription,Medium,1978218,41,8,A digital manufacturing platform using a Subscription model for medium subscribers.,95,1,30.836027,30.014086,38.29153,36.143112,33.408665,10
Raptor Bridge,SaaS,SaaS,Medium,404104,96,12,A digital software platform using a SaaS model for medium organizations.,95,1,31.860493,36.428121,38.096239,32.334059,33.227399,10
NovaWave24,Food & Beverage,B2C,Small,155624,25,9,An AI-powered B2C food and beverage solution for small consumers.,81,1,35.325024,33.458976,38.860318,39.021278,42.682491,24
EchoLink42,Education,Other,Large,245620,7,5,A Other education platform serving large customers.,76,1,33.949767,35.084576,36.03578,42.755926,38.417966,29
AtlasBridge623,Other,Advertising,Medium,33537,6,3,A digital digital services platform using a Advertising model for medium audiences.,58,1,42.163553,48.709497,41.497631,47.375133,44.872401,47
AeroWorks7708,Finance,B2C,Small,19288,1,1,A modern financial venture delivering solutions for small consumers.,50,1,54.016865,47.665761,49.290795,45.146252,45.199852,55
PixelStack,Food & Beverage,Advertising,Medium,123663,30,2,A modern food and beverage venture delivering solutions for medium audiences.,76,1,36.436026,37.638522,45.197073,41.191923,40.454224,29
SolarPulse8792,Agriculture,C2C,Small,99357,2,0,A modern agriculture venture delivering solutions for small individual users.,54,1,44.311392,48.807036,46.07292,50.404803,46.563538,51
Meteor Works,Real Estate,B2B,Small,287002,23,9,An AI-powered B2B real estate solution for small businesses.,89,1,33.735165,34.786094,41.518372,33.053884,38.833393,16
Hyper Cascade,Technology,SaaS,Large,2204093,367,14,A technology-driven SaaS platform focused on large technology operations.,95,1,26.083176,37.258472,35.490061,29.099754,40.837917,10
Nimbus-Link,Food & Beverage,Other,Small,78546,4,0,A Other food and beverage platform serving small customers.,59,1,43.510103,49.421402,48.642941,46.775975,41.046649,46
CobaltSystems,Retail,Other,Small,37938,1,1,A Other retail platform serving small customers.,46,0,47.694364,47.198424,52.372816,49.43401,43.132802,59
CobaltIgnite,Transportation,Advertising,Medium,76410,6,3,A technology-driven Advertising platform focused on medium transportation operations.,66,1,37.570056,43.174936,43.948146,45.47827,45.471887,39
Lunar-X,Transportation,B2C,Medium,80706,6,3,An AI-powered B2C transportation solution for medium consumers.,66,1,38.050202,41.727583,44.652156,40.511587,39.509747,39
TerraX,Technology,Subscription,Medium,313888,19,8,A modern technology venture delivering solutions for medium subscribers.,92,1,31.95216,29.676864,40.934025,36.044942,34.846463,13
AeroBridge7384,E-commerce,Franchise,Large,400300,23,5,An AI-powered Franchise e-commerce solution for large franchise operators.,83,1,31.969246,34.7671,34.323891,38.866102,41.356488,22
SolarEdge,Healthcare,Direct Sales,Large,1606607,72,7,A scalable healthcare solution targeting large business customers.,95,1,24.333646,32.317816,35.793608,27.893502,33.899728,10
SpectraBridge,E-commerce,B2B,Large,518840,56,8,A modern e-commerce venture delivering solutions for large businesses.,95,1,25.395364,36.902786,32.312033,29.365829,35.541917,10
Prime-Hub,Energy,Other,Small,205794,20,2,A scalable energy solution targeting small customers.,78,1,32.385939,36.023664,45.048033,42.484605,35.677961,27
FusionHub352,Healthcare,Marketplace,Large,807776,28,8,A technology-driven Marketplace platform focused on large healthcare operations.,95,1,25.219211,37.034713,34.759895,31.417628,32.82519,10
ZenithIgnite2699,Transportation,Freemium,Medium,33315,6,1,A modern transportation venture delivering solutions for medium users.,57,1,46.969258,42.451853,45.987514,51.387365,43.372108,48
Meridian Ignite,Retail,Advertising,Small,47225,1,1,A digital retail platform using a Advertising model for small audiences.,48,0,54.21332,49.741041,46.672336,55.220972,50.368578,57
VortexByte807,Finance,Advertising,Small,46406,2,0,A digital financial platform using a Advertising model for small audiences.,50,1,48.252655,53.221016,52.341041,48.188056,44.557363,55
Nova Dynamo,Manufacturing,B2B,Medium,751797,19,14,A scalable manufacturing solution targeting medium businesses.,95,1,22.908932,28.493805,32.831782,29.684222,39.91731,10
ZenithIgnite9659,Energy,B2G,Medium,237873,40,10,A technology-driven B2G platform focused on medium energy operations.,92,1,27.27379,36.503665,41.467228,33.463022,39.993764,13
LunarVision,Transportation,Other,Small,97648,1,0,A technology-driven Other platform focused on small transportation operations.,54,1,47.156897,44.552093,49.223933,49.834577,45.811985,51
CosmicBridge7600,Manufacturing,Franchise,Small,206360,40,5,An AI-powered Franchise manufacturing solution for small franchise operators.,84,1,31.300349,36.964067,37.898986,40.434919,42.514963,21
FusionScale9674,Food & Beverage,C2C,Medium,50403,4,3,A C2C food and beverage platform serving medium individual users.,65,1,38.631522,45.417305,41.375442,46.150221,39.557083,40
Vector-Bridge,Healthcare,Marketplace,Large,1453731,31,14,A digital healthcare platform using a Marketplace model for large buyers and sellers.,95,1,26.950325,32.433853,39.416789,30.521191,40.133544,10
Fusion Forge,Food & Beverage,B2C,Small,228747,24,3,A digital food and beverage platform using a B2C model for small consumers.,81,1,30.539295,35.34804,37.112272,35.157418,39.781584,24
VectorGrid5004,Finance,SaaS,Medium,392554,9,6,A scalable financial solution targeting medium organizations.,90,1,28.895365,34.577259,42.387597,37.251292,36.325679,15
Omega-Core,Retail,Freemium,Small,98868,5,3,A Freemium retail platform serving small users.,64,1,45.483089,39.95898,42.223302,48.728772,46.989639,41
MeteorLogic,E-commerce,Marketplace,Large,988740,74,15,A Marketplace e-commerce platform serving large buyers and sellers.,95,1,31.10479,34.778443,39.366801,28.421845,35.027755,10
VortexSphere839,Finance,B2C,Small,157757,18,10,A modern financial venture delivering solutions for small consumers.,75,1,38.470577,40.948438,38.97397,41.313678,37.841306,30
Meteor-Ignite,Finance,C2C,Small,29960,2,0,A scalable financial solution targeting small individual users.,49,0,53.027458,48.454573,48.156232,54.841615,49.963549,56
PixelFlow12,Real Estate,Other,Medium,40166,2,1,A digital real estate platform using a Other model for medium customers.,47,0,54.557699,48.680392,47.758519,51.363333,48.287744,58
VertexWave370,Healthcare,Subscription,Large,1081720,244,20,A scalable healthcare solution targeting large subscribers.,95,1,29.805407,31.11516,35.794139,33.771339,31.749826,10
VectorCore120,Energy,Subscription,Large,8656702,241,14,An AI-powered Subscription energy solution for large subscribers.,95,1,23.570822,36.575597,40.544123,28.789051,40.167421,10
OmegaEdge,Manufacturing,Direct Sales,Medium,1977269,84,7,An AI-powered Direct Sales manufacturing solution for medium business customers.,95,1,31.055025,29.801077,32.713642,31.908613,38.87031,10
TitanPath630,Real Estate,B2C,Small,72767,7,2,A modern real estate venture delivering solutions for small consumers.,64,1,42.912965,46.886102,40.327628,41.87336,44.485542,41
ZenithWave,E-commerce,SaaS,Large,6247572,111,18,An AI-powered SaaS e-commerce solution for large organizations.,95,1,27.590852,32.430658,39.607304,28.399098,35.081726,10
Hyper Labs,Energy,B2B,Medium,580896,73,6,A modern energy venture delivering solutions for medium businesses.,95,1,31.533369,37.436255,34.920625,31.266389,31.762015,10
Terra Cascade,Technology,B2B,Large,981945,54,11,A B2B technology platform serving large businesses.,95,1,24.64052,28.510021,36.584213,36.882681,32.464456,10
NexusTech378,Entertainment,Other,Large,184987,37,2,A scalable entertainment solution targeting large customers.,76,1,41.500527,38.737963,36.503117,36.203317,39.33138,29
HyperForge350,Agriculture,C2C,Medium,39462,4,1,A technology-driven C2C platform focused on medium agriculture operations.,54,1,45.047967,48.68625,43.865534,51.148849,41.294707,51
Atlas Bridge,Retail,C2C,Medium,46007,2,1,A modern retail venture delivering solutions for medium individual users.,47,0,52.373237,49.558812,51.284948,52.280758,45.751218,58
PulseX,E-commerce,B2B,Large,8191494,312,15,An AI-powered B2B e-commerce solution for large businesses.,95,1,31.554568,37.146549,40.073217,29.368581,38.184662,10
Stellar-Wave,Manufacturing,C2C,Medium,81271,37,4,An AI-powered C2C manufacturing solution for medium individual users.,72,1,40.401607,44.490313,43.318862,38.119697,38.472025,33
Silver Wave,Finance,B2C,Medium,55964,2,4,A digital financial platform using a B2C model for medium consumers.,60,1,44.847725,45.535517,44.269354,49.617972,46.522272,45
LunarSystems,Agriculture,Other,Medium,89163,5,2,A technology-driven Other platform focused on medium agriculture operations.,63,1,45.991611,43.45378,46.873133,48.388135,43.459696,42
QuantumShift337,Technology,B2G,Medium,159269,34,10,A B2G technology platform serving medium government organizations.,87,1,32.557987,33.347009,36.800883,37.051809,41.620595,18
Cosmic Labs,Real Estate,Advertising,Small,95068,1,1,A technology-driven Advertising platform focused on small real estate operations.,54,1,49.87418,45.420716,49.365434,48.20886,42.799756,51
OrionPath,SaaS,SaaS,Large,7834240,263,25,A scalable software solution targeting large organizations.,95,1,26.019437,36.330818,39.807256,30.269,33.053602,10
VectorSystems2199,E-commerce,B2B,Medium,1979227,96,5,A scalable e-commerce solution targeting medium businesses.,95,1,27.865191,36.769856,32.311563,31.87649,31.004552,10
RaptorSystems548,Education,Direct Sales,Large,1042901,59,5,A technology-driven Direct Sales platform focused on large education operations.,94,1,28.92281,31.255084,35.223275,30.611365,36.117,11
Vector-Sync,Food & Beverage,Marketplace,Small,208840,42,6,A digital food and beverage platform using a Marketplace model for small buyers and sellers.,89,1,32.305232,31.330842,39.292776,32.185841,39.700631,16
Quantum Path,Energy,Subscription,Large,667099,60,14,A digital energy platform using a Subscription model for large subscribers.,95,1,23.566371,36.298698,38.159894,27.981066,39.874003,10
Meridian-Grid,Manufacturing,B2G,Medium,308355,35,8,An AI-powered B2G manufacturing solution for medium government organizations.,90,1,25.751286,31.369135,34.373798,30.909924,41.156265,15
RaptorX9206,Energy,Marketplace,Large,426351,71,14,A Marketplace energy platform serving large buyers and sellers.,95,1,26.59535,29.945945,36.730317,34.433472,40.784461,10
Nexus-Pulse,Agriculture,B2C,Small,31288,2,1,A scalable agriculture solution targeting small consumers.,50,1,50.981364,44.517637,43.763576,54.260049,47.660611,55
Atlas Wave,Real Estate,Advertising,Small,302194,6,8,A technology-driven Advertising platform focused on small real estate operations.,79,1,31.978517,41.585518,36.223772,37.144644,34.410664,26
StellarCascade6917,Finance,B2C,Small,24545,1,0,An AI-powered B2C financial solution for small consumers.,50,1,54.749206,46.73241,43.746843,53.114008,44.173156,55
Titan Ignite,Technology,Other,Small,348853,14,9,A modern technology venture delivering solutions for small customers.,83,1,34.706159,40.953231,36.856569,37.183017,35.05898,22
Silver-Systems,Food & Beverage,Other,Medium,33811,2,1,A Other food and beverage platform serving medium customers.,49,0,54.009332,46.871066,47.620583,52.641143,49.236903,56
SpectraWave106,Finance,B2C,Small,39594,2,0,A modern financial venture delivering solutions for small consumers.,50,1,48.479455,44.182595,47.737397,45.132018,43.925654,55
Cyber-Forge,Finance,Advertising,Medium,32573,1,0,A modern financial venture delivering solutions for medium audiences.,50,1,49.081963,47.993081,46.583539,52.381048,42.369376,55
AstraLogic357,E-commerce,Freemium,Large,420077,4,10,A Freemium e-commerce platform serving large users.,83,1,33.69352,35.58294,40.46266,36.0196,35.462767,22
Meteor-Edge,Agriculture,Advertising,Medium,34657,3,0,A technology-driven Advertising platform focused on medium agriculture operations.,55,1,48.437879,44.14421,45.214638,47.157603,47.983852,50
Fusion Nest,E-commerce,SaaS,Large,7259785,115,24,A SaaS e-commerce platform serving large organizations.,95,1,29.893501,34.626789,32.373942,30.091062,31.497611,10
CosmicLogic776,Finance,C2C,Medium,366947,44,10,An AI-powered C2C financial solution for medium individual users.,84,1,33.390702,33.178198,34.290502,34.967523,40.640967,21
AstraLabs,Real Estate,B2C,Medium,69746,5,3,A technology-driven B2C platform focused on medium real estate operations.,64,1,42.257707,39.532804,44.399928,43.894971,46.809498,41
HyperForge600,Energy,Subscription,Medium,102752,23,5,A Subscription energy platform serving medium subscribers.,87,1,27.872352,37.828014,40.45563,38.684863,41.066201,18
Cosmic Nest,Finance,Advertising,Medium,42197,2,1,An AI-powered Advertising financial solution for medium audiences.,50,1,49.042501,50.808315,46.416355,53.947024,47.049452,55
Vector Dynamo,Technology,SaaS,Large,5306599,488,19,An AI-powered SaaS technology solution for large organizations.,95,1,22.923199,30.218062,40.291517,32.633494,38.770945,10
Nova-Edge,Technology,Subscription,Large,134399,12,2,A Subscription technology platform serving large subscribers.,82,1,37.509821,33.144872,35.591425,41.575904,39.686651,23
CobaltScale3891,SaaS,Marketplace,Medium,1999837,68,10,A scalable software solution targeting medium buyers and sellers.,95,1,29.694027,32.279593,33.669131,27.998801,33.141007,10
CrimsonEdge1995,Other,Advertising,Small,40276,1,0,A scalable digital services solution targeting small audiences.,48,0,47.026851,53.276051,51.712665,53.346942,40.621028,57
Cobalt Byte,SaaS,C2C,Large,213124,17,7,A technology-driven C2C platform focused on large software operations.,89,1,30.715364,32.73053,33.50418,29.609305,39.367692,16
NexusLink673,Other,B2G,Small,361612,7,10,A technology-driven B2G platform focused on small digital services operations.,80,1,33.789984,39.221028,42.744463,37.48294,35.292203,25
MeridianLabs6768,Healthcare,Subscription,Large,9712503,128,20,A digital healthcare platform using a Subscription model for large subscribers.,95,1,31.933517,34.801483,33.240109,33.827606,35.283424,10
CobaltCore8835,Finance,B2B,Large,257999,30,4,A digital financial platform using a B2B model for large businesses.,85,1,35.424831,38.866918,36.361237,38.405653,38.504574,20
PulseGrid3524,Food & Beverage,B2G,Medium,283991,25,3,A modern food and beverage venture delivering solutions for medium government organizations.,83,1,35.227952,36.285673,35.285427,32.159557,41.318314,22
Aero Nest,Transportation,B2C,Small,59810,7,3,A B2C transportation platform serving small consumers.,66,1,39.810367,43.892156,46.910169,48.102121,46.499009,39
NeonByte858,Retail,Freemium,Small,73848,5,1,An AI-powered Freemium retail solution for small users.,59,1,48.555965,45.553368,42.912339,41.574141,40.456397,46
AstraTech247,E-commerce,Direct Sales,Small,205042,28,10,An AI-powered Direct Sales e-commerce solution for small business customers.,90,1,27.364882,35.261878,38.774238,38.801375,35.906937,15
Lunar-Sphere,Manufacturing,Subscription,Large,463401,28,10,A modern manufacturing venture delivering solutions for large subscribers.,95,1,31.884687,36.405756,38.319748,28.749751,37.179565,10
Neon-Drive,Agriculture,Other,Small,22160,2,0,An AI-powered Other agriculture solution for small customers.,48,0,51.92865,51.90438,48.792059,55.43469,42.390582,57
StellarHub761,Education,SaaS,Large,1313833,96,10,A scalable education solution targeting large organizations.,95,1,24.155018,35.599103,41.207504,29.379543,31.538401,10
Echo-Vision,Technology,Subscription,Large,8554509,464,11,A digital technology platform using a Subscription model for large subscribers.,95,1,29.073255,35.806192,36.354128,29.278763,35.96243,10
VertexForge,Real Estate,Other,Small,46717,1,1,A technology-driven Other platform focused on small real estate operations.,47,0,49.576655,46.51002,48.261647,46.677274,47.768401,58
Hyper Drive,SaaS,Franchise,Small,215974,40,4,A digital software platform using a Franchise model for small franchise operators.,91,1,32.156062,39.519291,41.037381,31.546853,34.842015,14
CobaltPulse9069,Retail,C2C,Medium,32419,2,1,A scalable retail solution targeting medium individual users.,47,0,50.938409,51.575529,43.659749,55.81741,47.626541,58
PrimeByte5616,Energy,B2B,Large,1845369,46,13,A B2B energy platform serving large businesses.,95,1,31.006456,35.23411,40.458346,35.170359,35.359576,10
CrimsonSphere326,Other,Freemium,Small,79478,5,0,A modern digital services venture delivering solutions for small users.,59,1,47.588727,49.754521,49.700177,50.402138,45.701028,46
AstraTech,SaaS,Marketplace,Large,1543056,32,10,A Marketplace software platform serving large buyers and sellers.,95,1,28.847057,33.831785,33.15109,31.586543,32.347425,10
MeridianPath782,Technology,SaaS,Medium,1900145,28,8,A SaaS technology platform serving medium organizations.,95,1,24.035838,29.910634,35.977726,27.869873,39.591483,10
Lunar Dynamo,Manufacturing,SaaS,Large,1626155,31,9,A digital manufacturing platform using a SaaS model for large organizations.,95,1,31.565125,35.092804,36.432246,36.537842,34.217749,10
VectorHub192,Retail,B2C,Small,36752,2,0,A digital retail platform using a B2C model for small consumers.,48,0,52.040707,51.981504,50.363145,54.239074,42.730179,57
AstraNest,E-commerce,B2B,Large,5166421,268,17,A digital e-commerce platform using a B2B model for large businesses.,95,1,30.517476,28.687613,36.763983,27.096473,34.493064,10
TitanBridge,Food & Beverage,Advertising,Small,43788,7,4,An AI-powered Advertising food and beverage solution for small audiences.,61,1,45.293216,46.770574,44.730675,50.081387,42.913869,44
Meteor Hub,Finance,C2C,Medium,12069,1,1,An AI-powered C2C financial solution for medium individual users.,49,0,46.217012,45.482458,51.203328,54.851954,46.890597,56
NeonLogic817,Food & Beverage,Direct Sales,Small,189803,45,7,An AI-powered Direct Sales food and beverage solution for small business customers.,84,1,35.441054,38.189332,40.386244,40.546188,37.557171,21
OrionPath683,Healthcare,B2C,Small,109150,16,10,A digital healthcare platform using a B2C model for small consumers.,82,1,35.670213,39.403472,38.462169,36.686906,36.802803,23
RubyVision,Manufacturing,Direct Sales,Medium,655800,73,9,A technology-driven Direct Sales platform focused on medium manufacturing operations.,95,1,32.037913,29.650116,33.78682,34.726412,34.427188,10
StellarWorks456,Education,Marketplace,Large,989705,83,14,A Marketplace education platform serving large buyers and sellers.,95,1,29.429234,35.602164,36.778436,31.085143,38.011679,10
Quantum-Sync,Other,C2C,Medium,54090,2,3,A scalable digital services solution targeting medium individual users.,57,1,41.602553,48.084464,46.512162,50.63567,46.009008,48
Nexus-Link,SaaS,SaaS,Large,7826513,132,15,A digital software platform using a SaaS model for large organizations.,95,1,28.119023,36.142399,32.948622,30.964078,36.316671,10
